test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
5489,1,1.0,0.0,0.0,1.0
2484,0,1e-05,0.99999,0.0,1.0
1947,1,1.0,0.0,1.0,0.0
1124,1,1.0,0.0,1.0,0.0
3344,1,0.999985,1.5e-05,1.0,0.0
3038,0,0.043857,0.956143,0.0,1.0
665,1,1.0,0.0,0.0,1.0
2166,1,1.0,0.0,0.0,1.0
5871,1,0.999994,6e-06,1.0,0.0
3270,1,1.0,0.0,0.0,1.0
586,0,0.000157,0.999843,3e-05,0.99997
1592,1,8.1e-05,0.999919,0.01179,0.98821
944,1,1.0,0.0,1.0,0.0
4688,1,1.0,0.0,1.0,0.0
595,1,1.0,0.0,1.0,0.0
2928,0,0.917387,0.082613,0.898241,0.101759
859,1,0.145871,0.854129,1.0,0.0
3120,1,1.0,0.0,0.0,1.0
3863,1,0.999918,8.2e-05,1.0,0.0
4197,1,0.999996,4e-06,1.0,0.0
5784,0,0.142712,0.857288,0.317175,0.682825
3167,0,0.808354,0.191646,0.0,1.0
471,0,1.0,0.0,0.0,1.0
33,1,1.0,0.0,0.0,1.0
3456,1,1.0,0.0,1.0,0.0
914,1,1.0,0.0,1.0,0.0
4594,1,1.0,0.0,0.0,1.0
5400,0,1.0,0.0,0.0,1.0
760,0,1.0,0.0,0.0,1.0
1137,1,1.0,0.0,0.0,1.0
5888,1,1.0,0.0,0.0,1.0
2954,1,1.0,0.0,0.0,1.0
4646,0,1.0,0.0,0.0,1.0
3632,0,1.0,0.0,0.0,1.0
700,1,1.0,0.0,0.0,1.0
1346,1,1.0,0.0,1.0,0.0
1176,1,1.0,0.0,6e-06,0.999995
2621,0,1.0,0.0,0.0,1.0
5272,1,1.0,0.0,1.0,0.0
767,1,1.0,0.0,1.0,0.0
2245,1,1.0,0.0,1.0,0.0
5932,1,0.999932,6.8e-05,1.0,0.0
4888,1,0.999971,2.9e-05,1.0,0.0
4627,1,0.999942,5.8e-05,1.0,0.0
1857,1,1.0,0.0,0.0,1.0
4361,1,1.0,0.0,0.0,1.0
1134,1,1.0,0.0,1.0,0.0
2440,1,0.915409,0.084591,1.0,0.0
2370,1,1.0,0.0,1.0,0.0
1580,1,0.999998,2e-06,1.0,0.0
3483,1,0.999724,0.000276,1.0,0.0
4626,1,0.999913,8.8e-05,1.0,0.0
2844,1,1.0,0.0,1.0,0.0
5716,1,1.0,0.0,0.0,1.0
6107,1,0.99998,2e-05,1.0,0.0
4315,1,1.0,0.0,0.0,1.0
3279,1,1.0,0.0,0.0,1.0
4879,1,1.0,0.0,1.0,0.0
4700,1,1.0,0.0,1.0,0.0
602,1,1.0,0.0,1.0,0.0
5706,1,1.0,0.0,0.0,1.0
1075,1,1.0,0.0,1.0,0.0
63,1,1.0,0.0,1.0,0.0
5073,0,0.105407,0.894593,0.258541,0.741459
4472,1,1.0,0.0,1.0,0.0
4257,1,1.0,0.0,1.0,0.0
45,1,1.0,0.0,1.0,0.0
5421,0,0.030604,0.969396,0.094109,0.905891
4649,1,1.0,0.0,1.0,0.0
2416,1,1.0,0.0,1.0,0.0
1823,1,1.0,0.0,1.0,0.0
4644,1,1.0,0.0,1.0,0.0
4062,1,1.0,0.0,0.0,1.0
5594,1,0.000199,0.999801,0.927903,0.072097
6255,0,1.0,0.0,0.0,1.0
2819,0,4e-05,0.99996,0.0,1.0
