timestamp,epoch,train_loss,val_loss,val_rho,best_rho
2026-05-14 15:23,1,0.84016,0.80875,0.0593,0.0593
2026-05-14 15:23,2,0.80739,0.87067,-0.1105,0.0593
2026-05-14 15:23,3,0.71983,0.90209,0.0354,0.0593
2026-05-14 15:23,4,0.67462,0.93075,-0.0215,0.0593
2026-05-14 15:23,5,0.64082,1.03069,-0.0621,0.0593
2026-05-14 15:23,6,0.57112,1.0966,0.0292,0.0593
2026-05-14 15:23,7,0.56002,0.95891,-0.0402,0.0593
2026-05-14 15:23,8,0.53123,1.00704,-0.0054,0.0593
2026-05-14 15:23,9,0.51389,1.01098,-0.0315,0.0593
2026-05-14 15:23,10,0.50152,1.11693,-0.0424,0.0593
2026-05-14 15:23,11,0.49144,0.95905,-0.0669,0.0593
2026-05-14 15:28,1,0.8244,0.91352,0.2026,0.2026
2026-05-14 15:28,2,0.74775,0.90272,0.2469,0.2469
2026-05-14 15:28,3,0.72649,0.96077,0.1533,0.2469
2026-05-14 15:28,4,0.69646,0.9275,0.2417,0.2469
2026-05-14 15:29,5,0.69109,0.96583,0.2359,0.2469
2026-05-14 15:29,6,0.67172,0.97166,0.1964,0.2469
2026-05-14 15:29,7,0.65122,0.92624,0.1811,0.2469
2026-05-14 15:29,8,0.63341,0.96103,0.1733,0.2469
2026-05-14 15:29,9,0.62121,0.95701,0.2164,0.2469
2026-05-14 15:29,10,0.60263,0.92182,0.2094,0.2469
2026-05-14 15:29,11,0.612,0.93477,0.1985,0.2469
2026-05-14 15:29,12,0.58793,0.93534,0.1693,0.2469
2026-05-14 15:33,1,nan,nan,nan,-1.0
2026-05-14 15:33,2,nan,nan,nan,-1.0
2026-05-14 15:33,3,nan,nan,nan,-1.0
2026-05-14 15:33,4,nan,nan,nan,-1.0
2026-05-14 15:33,5,nan,nan,nan,-1.0
2026-05-14 15:33,6,nan,nan,nan,-1.0
2026-05-14 15:33,7,nan,nan,nan,-1.0
2026-05-14 15:33,8,nan,nan,nan,-1.0
2026-05-14 15:33,9,nan,nan,nan,-1.0
2026-05-14 15:33,10,nan,nan,nan,-1.0
2026-05-14 15:33,11,nan,nan,nan,-1.0
2026-05-14 15:33,12,nan,nan,nan,-1.0
2026-05-14 15:34,13,nan,nan,nan,-1.0
2026-05-14 15:34,14,nan,nan,nan,-1.0
2026-05-14 15:34,15,nan,nan,nan,-1.0
2026-05-14 15:34,16,nan,nan,nan,-1.0
2026-05-14 15:34,17,nan,nan,nan,-1.0
2026-05-14 15:34,18,nan,nan,nan,-1.0
2026-05-14 15:34,19,nan,nan,nan,-1.0
2026-05-14 15:34,20,nan,nan,nan,-1.0
2026-05-14 15:35,1,0.81903,0.92035,0.1753,0.1753
2026-05-14 15:35,2,0.78931,0.90604,0.2758,0.2758
2026-05-14 15:35,3,0.77691,0.89106,0.2769,0.2769
2026-05-14 15:35,4,0.75582,0.8855,0.2736,0.2769
2026-05-14 15:35,5,0.72272,0.88006,0.2752,0.2769
2026-05-14 15:35,6,0.71905,0.88181,0.264,0.2769
2026-05-14 15:35,7,0.70357,0.87531,0.293,0.293
2026-05-14 15:35,8,0.69569,0.86783,0.3047,0.3047
2026-05-14 15:35,9,0.68819,0.87615,0.2996,0.3047
2026-05-14 15:35,10,0.66966,0.88364,0.2812,0.3047
2026-05-14 15:35,11,0.67128,0.86656,0.3196,0.3196
2026-05-14 15:35,12,0.66185,0.87185,0.333,0.333
2026-05-14 15:35,13,0.66108,0.85777,0.3174,0.333
2026-05-14 15:35,14,0.65351,0.86982,0.3268,0.333
2026-05-14 15:35,15,0.64119,0.87501,0.2967,0.333
2026-05-14 15:35,16,0.62866,0.87675,0.2931,0.333
2026-05-14 15:36,17,0.61733,0.87215,0.313,0.333
2026-05-14 15:36,18,0.61063,0.8862,0.2788,0.333
2026-05-14 15:36,19,0.61471,0.89243,0.2909,0.333
2026-05-14 15:36,20,0.6033,0.89856,0.2552,0.333
2026-05-14 15:36,21,0.60003,0.8959,0.2512,0.333
2026-05-14 15:36,22,0.5844,0.87247,0.2973,0.333
2026-05-14 15:36,23,0.57891,0.89601,0.2526,0.333
2026-05-14 15:36,24,0.5751,0.88202,0.2698,0.333
2026-05-14 15:36,25,0.57076,0.90643,0.272,0.333
2026-05-14 15:36,26,0.5649,0.86786,0.304,0.333
2026-05-14 15:36,27,0.55516,0.87507,0.2462,0.333
2026-05-14 15:36,28,0.56177,0.89624,0.28,0.333
2026-05-14 15:36,29,0.54543,0.88974,0.2907,0.333
2026-05-14 15:36,30,0.54806,0.8805,0.2846,0.333
2026-05-14 15:36,31,0.55768,0.86822,0.2896,0.333
2026-05-14 15:36,32,0.5382,0.88755,0.2747,0.333
2026-05-14 22:31,1,0.8778,0.90693,0.1775,0.1775
2026-05-14 22:31,2,0.74745,0.78005,0.3433,0.3433
2026-05-14 22:31,3,0.69525,0.76628,0.384,0.384
2026-05-14 22:31,4,0.6527,0.7396,0.3797,0.384
2026-05-14 22:31,5,0.60873,0.71381,0.4378,0.4378
2026-05-14 22:31,6,0.57085,0.71432,0.3781,0.4378
2026-05-14 22:31,7,0.54221,0.6921,0.4462,0.4462
2026-05-14 22:31,8,0.51402,0.68166,0.4472,0.4472
2026-05-14 22:31,9,0.48966,0.64829,0.4596,0.4596
2026-05-14 22:31,10,0.48485,0.63499,0.4364,0.4596
2026-05-14 22:32,11,0.48235,0.63082,0.4392,0.4596
2026-05-14 22:32,12,0.46009,0.63437,0.4533,0.4596
2026-05-14 22:32,13,0.44532,0.61306,0.4476,0.4596
2026-05-14 22:32,14,0.42731,0.62517,0.4511,0.4596
2026-05-14 22:32,15,0.40397,0.61713,0.44,0.4596
2026-05-14 22:32,16,0.40116,0.59081,0.4697,0.4697
2026-05-14 22:32,17,0.4134,0.58765,0.4638,0.4697
2026-05-14 22:32,18,0.40523,0.59298,0.4654,0.4697
2026-05-14 22:32,19,0.39285,0.59127,0.462,0.4697
2026-05-14 22:32,20,0.3799,0.58393,0.4659,0.4697
2026-05-14 22:32,21,0.37118,0.57432,0.4732,0.4732
2026-05-14 22:32,22,0.3854,0.57958,0.4502,0.4732
2026-05-14 22:32,23,0.35995,0.56971,0.4766,0.4766
2026-05-14 22:32,24,0.36269,0.55854,0.481,0.481
2026-05-14 22:32,25,0.34921,0.56547,0.4663,0.481
2026-05-14 22:32,26,0.35509,0.55294,0.4773,0.481
2026-05-14 22:33,27,0.35281,0.54765,0.4844,0.4844
2026-05-14 22:33,28,0.34253,0.54803,0.5045,0.5045
2026-05-14 22:33,29,0.34803,0.55608,0.482,0.5045
2026-05-14 22:33,30,0.34798,0.54673,0.4839,0.5045
2026-05-14 22:33,31,0.32893,0.54525,0.479,0.5045
2026-05-14 22:33,32,0.3335,0.55807,0.4722,0.5045
2026-05-14 22:33,33,0.32095,0.55329,0.4651,0.5045
2026-05-14 22:33,34,0.32815,0.54708,0.4759,0.5045
2026-05-14 22:33,35,0.32298,0.56157,0.4571,0.5045
2026-05-14 22:33,36,0.32573,0.56198,0.4648,0.5045
2026-05-14 22:33,37,0.31324,0.55488,0.4656,0.5045
2026-05-14 22:33,38,0.31075,0.53401,0.4881,0.5045
2026-05-14 22:33,39,0.31363,0.53413,0.4829,0.5045
2026-05-14 22:33,40,0.31075,0.54825,0.4747,0.5045
2026-05-14 22:33,41,0.29919,0.54295,0.4909,0.5045
2026-05-14 22:33,42,0.31247,0.54202,0.4687,0.5045
2026-05-14 22:34,43,0.30604,0.53273,0.4727,0.5045
2026-05-14 22:34,44,0.30428,0.53341,0.4661,0.5045
2026-05-14 22:34,45,0.30556,0.52714,0.4721,0.5045
2026-05-14 22:34,46,0.30084,0.5198,0.4827,0.5045
2026-05-14 22:34,47,0.29224,0.53286,0.4698,0.5045
2026-05-14 22:34,48,0.29897,0.55359,0.4647,0.5045
2026-05-14 22:35,1,0.87586,0.9169,0.1761,0.1761
2026-05-14 22:35,2,0.74403,0.78702,0.3278,0.3278
2026-05-14 22:35,3,0.69227,0.7759,0.3708,0.3708
2026-05-14 22:35,4,0.64812,0.74256,0.3805,0.3805
2026-05-14 22:35,5,0.60182,0.71571,0.4335,0.4335
2026-05-14 22:35,6,0.56274,0.71714,0.3784,0.4335
2026-05-14 22:35,7,0.53411,0.69375,0.4542,0.4542
2026-05-14 22:35,8,0.50256,0.68677,0.4485,0.4542
2026-05-14 22:35,9,0.4772,0.65765,0.4569,0.4569
2026-05-14 22:35,10,0.47282,0.63712,0.4373,0.4569
2026-05-14 22:35,11,0.46482,0.63601,0.4315,0.4569
2026-05-14 22:35,12,0.44267,0.63962,0.4523,0.4569
2026-05-14 22:35,13,0.4265,0.61333,0.4485,0.4569
2026-05-14 22:36,14,0.41027,0.62485,0.4527,0.4569
2026-05-14 22:36,15,0.38486,0.61937,0.446,0.4569
2026-05-14 22:36,16,0.38031,0.59956,0.4777,0.4777
2026-05-14 22:36,17,0.38912,0.59044,0.4658,0.4777
2026-05-14 22:36,18,0.383,0.59819,0.4673,0.4777
2026-05-14 22:36,19,0.3669,0.59147,0.4588,0.4777
2026-05-14 22:36,20,0.35712,0.58745,0.4674,0.4777
2026-05-14 22:36,21,0.34863,0.57571,0.4758,0.4777
2026-05-14 22:36,22,0.35387,0.58361,0.4495,0.4777
2026-05-14 22:36,23,0.33276,0.56358,0.4804,0.4804
2026-05-14 22:36,24,0.33659,0.56661,0.4801,0.4804
2026-05-14 22:36,25,0.32309,0.5759,0.4694,0.4804
2026-05-14 22:36,26,0.32609,0.5679,0.4765,0.4804
2026-05-14 22:36,27,0.32384,0.56113,0.4883,0.4883
2026-05-14 22:37,28,0.31649,0.56392,0.5018,0.5018
2026-05-14 22:37,29,0.31546,0.58361,0.4704,0.5018
2026-05-14 22:37,30,0.31827,0.55457,0.4896,0.5018
2026-05-14 22:37,31,0.29778,0.55979,0.4781,0.5018
2026-05-14 22:37,32,0.30252,0.56747,0.4796,0.5018
2026-05-14 22:37,33,0.29177,0.55802,0.4807,0.5018
2026-05-14 22:37,34,0.29834,0.56048,0.4816,0.5018
2026-05-14 22:37,35,0.29421,0.57271,0.4727,0.5018
2026-05-14 22:37,36,0.2908,0.58674,0.4674,0.5018
2026-05-14 22:37,37,0.27863,0.57775,0.4656,0.5018
2026-05-14 22:37,38,0.27951,0.54381,0.4913,0.5018
2026-05-14 22:37,39,0.28114,0.54568,0.4881,0.5018
2026-05-14 22:37,40,0.27516,0.56688,0.4778,0.5018
2026-05-14 22:37,41,0.26553,0.56701,0.4984,0.5018
2026-05-14 22:37,42,0.27615,0.5694,0.4726,0.5018
2026-05-14 22:38,43,0.27453,0.5417,0.4802,0.5018
2026-05-14 22:38,44,0.27206,0.55625,0.4745,0.5018
2026-05-14 22:38,45,0.26954,0.5485,0.4798,0.5018
2026-05-14 22:38,46,0.26675,0.53765,0.4909,0.5018
2026-05-14 22:38,47,0.25882,0.55696,0.4655,0.5018
2026-05-14 22:38,48,0.26345,0.58596,0.4545,0.5018
2026-05-14 22:40,1,0.8778,0.90693,0.1775,0.1775
2026-05-14 22:40,2,0.74745,0.78005,0.3433,0.3433
2026-05-14 22:40,3,0.69525,0.76628,0.384,0.384
2026-05-14 22:40,4,0.6527,0.7396,0.3797,0.384
2026-05-14 22:40,5,0.60873,0.71381,0.4378,0.4378
2026-05-14 22:40,6,0.57085,0.71432,0.3781,0.4378
2026-05-14 22:40,7,0.54221,0.6921,0.4462,0.4462
2026-05-14 22:40,8,0.51402,0.68166,0.4472,0.4472
2026-05-14 22:41,9,0.48966,0.64829,0.4596,0.4596
2026-05-14 22:41,10,0.48485,0.63499,0.4364,0.4596
